Time (s),x,y,z,,timestamps
0.789115039,2.207453966,-5.372888088,4.458003521,789.115039,789115.039
0.791114139,2.214636564,-5.245995045,4.776432514,791.114139,791114.139
0.793113239,2.279279947,-4.953902721,5.372888088,793.113239,793113.239
0.795113205,2.432508945,-4.620809078,5.870882034,795.113205,795113.205
0.797113205,2.705447912,-4.295197964,6.198887348,797.113205,797113.205
0.799113238,2.901772499,-4.146757126,6.311414719,799.113238,799113.238
0.801113271,3.438073635,-3.873818398,6.378452778,801.113271,801113.271
0.803113304,4.125209332,-3.667917013,6.347328186,803.113304,803113.304
0.805112437,4.510675907,-3.56736064,6.320991993,805.112437,805112.437
0.80711247,5.313032627,-3.390189648,6.263530731,807.11247,807112.47
0.809112503,6.182127953,-3.236960649,6.210858345,809.112503,809112.503
0.811113903,6.620266914,-3.172317266,6.162974358,811.113903,811113.903
0.813113903,7.532457829,-3.031059265,6.048052788,813.113903,813113.903
0.815113869,8.411129951,-2.911349297,5.947496414,815.113869,815113.869
0.817113835,8.815750122,-2.851494312,5.940313816,817.113835,817113.835
0.819113801,9.586683273,-2.746149302,6.048052788,819.113801,819113.801
